idx: 37, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 38, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 39, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 40, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 41, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 42, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 43, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 44, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 45, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 46, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 47, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 48, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 49, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 50, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 51, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 52, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 53, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 54, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 55, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 56, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 57, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 58, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 59, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 60, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 61, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 62, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 63, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 64, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 65, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 66, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 67, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 68, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 69, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 70, acc: 0.0000, auroc: 0.0000, f1: 0.0000
